,index,Timestamp,Value 1,Moving average (5),Moving average (6),Moving average (8),Moving average (10)
319,319,1593154771074.0,6343.0,5631.4,5374.0,5491.0,5761.2
320,320,1593154831232.0,3513.0,5865.6,5278.333333333333,5432.0,5611.1
321,321,1593154891400.0,10087.0,6409.6,6569.166666666667,5730.5,5752.8
322,322,1593154951568.0,4038.0,5847.8,6014.333333333333,5724.375,5758.1
323,323,1593155011736.0,7514.0,6299.0,6125.5,6370.875,5739.6
324,324,1593155071901.0,4261.0,5882.6,5959.333333333333,5982.625,5757.0
325,325,1593155132072.0,6012.0,6382.4,5904.166666666667,5878.25,6124.0
326,326,1593155192241.0,5774.0,5519.8,6281.0,5942.75,5964.7
327,327,1593155252408.0,7261.0,6164.4,5810.0,6057.5,6006.1
328,328,1593155312576.0,6375.0,5936.6,6199.5,6415.25,6117.8
329,329,1593155372746.0,8147.0,6713.8,6305.0,6172.75,6298.2
330,330,1593155432907.0,6723.0,6856.0,6715.333333333333,6508.375,6619.2
331,331,1593155493054.0,12086.0,8118.4,7727.666666666667,7079.875,6819.1
332,332,1593155553224.0,6441.0,7954.4,7838.833333333333,7352.375,7059.4
333,333,1593155613388.0,7823.0,8244.0,7932.5,7578.75,7090.3
334,334,1593155673556.0,4787.0,7572.0,7667.833333333333,7455.375,7142.9
335,335,1593155733728.0,12958.0,8819.0,8469.666666666666,8167.5,7837.5
336,336,1593155793890.0,7327.0,7867.2,8570.333333333334,8286.5,7992.8
337,337,1593155854043.0,14289.0,9436.8,8937.5,9054.25,8695.6
338,338,1593155914215.0,10389.0,9950.0,9595.5,9512.5,9097.0
339,339,1593155974372.0,9541.0,10900.8,9881.833333333334,9194.375,9236.4
340,340,1593156034540.0,7395.0,9788.2,10316.5,9313.625,9303.6
341,341,1593156094684.0,7687.0,9860.2,9438.0,9296.625,8863.7
342,342,1593156154823.0,7683.0,8539.0,9497.333333333334,9658.625,8987.9
343,343,1593156214950.0,10060.0,8473.2,8792.5,9296.375,9211.6
344,344,1593156275120.0,4087.0,7382.4,7742.166666666667,8891.375,9141.6
345,345,1593156335288.0,9138.0,7731.0,7675.0,8247.5,8759.6
346,346,1593156395459.0,6147.0,7423.0,7467.0,7717.25,8641.6
